Code,Nom,DCI,Marque,Categorie,Prix Vente,Prix Achat,Rx
PN0001,"Doliprane 1g cp/eff",,,Autre,22000,0,Non
PN0002,"Doliprane 1g cp/sec",,,Autre,18000,0,Non
PN0003,"Doliprane 500 mg cp/sec",,,Autre,20000,0,Non
PN0004,"Doliprane Vitc cp/eff",,,Autre,25000,0,Non
PN0005,"Aclop cp",,,Autre,37000,0,Non
PN0006,"Actinac cp+",,,Autre,48000,0,Non
PN0007,"Acumol cp",,,Autre,70000,0,Non
PN0008,"Acofan cp",,,Autre,0,0,Non
PN0009,"Acure cp 20/120",,,Autre,24000,0,Non
PN0010,"Acure cp 40/240",,,Autre,0,0,Non
PN0011,"Acure cp 60/360",,,Autre,0,0,Non
PN0012,"Acure cp 80/480",,,Autre,41000,0,Non
PN0013,"Aerius cp B/7",,,Autre,52000,0,Non
PN0014,"Aerius cp B/15",,,Autre,104000,0,Non
PN0015,"Adione cp B/10",,,Autre,44000,0,Non
PN0016,"Adione cp B/30",,,Autre,102500,0,Non
PN0017,"Airtal cp 100 mg",,,Autre,0,0,Non
PN0018,"Alben cp 400 mg",,,Autre,26000,0,Non
PN0019,"Alcer cp",,,Autre,0,0,Non
PN0020,"Aldactone 75 cp",,,Autre,0,0,Non
PN0021,"Aldomet 500 cp",,,Autre,77000,0,Non
PN0022,"Alerid cp",,,Autre,0,0,Non
PN0023,"Alfacure cp 20/120",,,Autre,13000,0,Non
PN0024,"Alfacure cp 40/240",,,Autre,26000,0,Non
PN0025,"Alfacure cp 80/480",,,Autre,41000,0,Non
PN0026,"Allergal cp",,,Autre,26000,0,Non
PN0027,"Amoxidel cp 500 mg",,,Autre,32000,0,Non
PN0028,"Alvityl cp",,,Autre,0,0,Non
PN0029,"Amarel 2 mg cp",,,Autre,0,0,Non
PN0030,"Amaday 5 mg cp",,,Autre,65000,0,Non
PN0031,"Amaday 10 mg cp",,,Autre,104000,0,Non
PN0032,"Amaday PL 5/8 cp",,,Autre,156000,0,Non
PN0033,"Amaday PL 10/4 cp",,,Autre,0,0,Non
PN0034,"Amaday PL 10/8 cp",,,Autre,168000,0,Non
PN0035,"Amep 5 mg cp",,,Autre,45000,0,Non
PN0036,"Amep 10 mg cp",,,Autre,63000,0,Non
PN0037,"Amical 10 mg cp",,,Autre,0,0,Non
PN0038,"Amlodip 10 mg cp",,,Autre,57000,0,Non
PN0039,"Amlodipine 10 mg BGR cp",,,Autre,85000,0,Non
PN0040,"Amlodip 5 mg cp",,,Autre,44000,0,Non
PN0041,"Amlodipine 10 mg GH cp",,,Autre,83000,0,Non
PN0042,"Amloclass 10 mg cp",,,Autre,60000,0,Non
PN0043,"Amloperin 5/5 cp",,,Autre,0,0,Non
PN0044,"Amloperin 10/5 cp",,,Autre,208000,0,Non
PN0045,"Amloperin 10/10 cp",,,Autre,231000,0,Non
PN0046,"Amlotensine 10 mg cp",,,Autre,0,0,Non
PN0047,"Amoxi denk 1g cp",,,Autre,47000,0,Non
PN0048,"Amoxi denk 500 mg cp",,,Autre,43000,0,Non
PN0049,"Amoxiclav 500 mg cp Denk",,,Autre,81000,0,Non
PN0050,"Andol 500 mg cp",,,Autre,17000,0,Non
PN0051,"Andol 1 g cp",,,Autre,18000,0,Non
PN0052,"Antadys cp",,,Autre,54000,0,Non
PN0053,"Antalgex T cp",,,Autre,0,0,Non
PN0054,"Amtiba cp",,,Autre,0,0,Non
PN0055,"Apramol 500 mg cp/eff",,,Autre,22000,0,Non
PN0056,"Apramol 1g cp/eff",,,Autre,21000,0,Non
PN0057,"Albentel cp 400mg",,,Autre,9000,0,Non
PN0058,"Arthel plus cp",,,Autre,0,0,Non
PN0059,"Artefan disp 20/120 cp",,,Autre,14000,0,Non
PN0060,"Artefan 40/240 DT cp",,,Autre,35000,0,Non
PN0061,"Artefan 40/240 sec cp",,,Autre,0,0,Non
PN0062,"Artefan 60/360 cp",,,Autre,55000,0,Non
PN0063,"Artefan 80/480 cp",,,Autre,44000,0,Non
PN0064,"Aprilam 10/5 cp",,,Autre,105000,0,Non
PN0065,"Artilex 40/240 cp",,,Autre,35000,0,Non
PN0066,"Artilex 60/360 cp",,,Autre,69000,0,Non
PN0067,"Artilex 80/480 cp",,,Autre,44000,0,Non
PN0068,"Artrim GH cp 80/480",,,Autre,26000,0,Non
PN0069,"Artiflex cp",,,Autre,95000,0,Non
PN0070,"Astyfer cp",,,Autre,0,0,Non
PN0071,"Aspirin UPSA cp",,,Autre,49000,0,Non
PN0072,"Astaph 500mg B/12 cp",,,Autre,127000,0,Non
PN0073,"Astaph 500mg B/24 cp",,,Autre,0,0,Non
PN0074,"Atedapene cp",,,Autre,0,0,Non
PN0075,"Atidine cp",,,Autre,63000,0,Non
PN0076,"Atofan cp",,,Autre,53000,0,Non
PN0077,"Atorcap 40 B/10 cp",,,Autre,0,0,Non
PN0078,"Atorcap 40 B/20 cp",,,Autre,0,0,Non
PN0079,"Atopir cp",,,Autre,69000,0,Non
PN0080,"Atopar 1g LP cp B/10",,,Autre,26000,0,Non
PN0081,"Atoflox 500mg cp",,,Autre,69000,0,Non
PN0082,"Atogrel 75mg cp",,,Autre,105000,0,Non
PN0083,"Atopril 10mg cp",,,Autre,0,0,Non
PN0084,"Atorfit 20mg cp",,,Autre,141000,0,Non
PN0085,"Atorfit 40mg cp",,,Autre,160000,0,Non
PN0086,"Atostatine 40mg cp",,,Autre,68000,0,Non
PN0087,"Atozidine 35mg cp",,,Autre,74000,0,Non
PN0088,"Azicure 500mg cp",,,Autre,93000,0,Non
PN0089,"Azythro GH 500mg cp",,,Autre,90000,0,Non
PN0090,"Azit 500mg cp",,,Autre,0,0,Non
PN0091,"Creazithro 500mg cp",,,Autre,35000,0,Non
PN0092,"Aziocin 500 mg cp",,,Autre,0,0,Non
PN0093,"Gripex 500mg cp",,,Autre,0,0,Non
PN0094,"Bactrim Forte cp",,,Autre,0,0,Non
PN0095,"Bactrim cp",,,Autre,47000,0,Non
PN0096,"Beclav 62.5 cp",,,Autre,93000,0,Non
PN0097,"Beclav Forte cp",,,Autre,104000,0,Non
PN0098,"Bekracine 200mg cp",,,Autre,104000,0,Non
PN0099,"Bekrazole 400mg cp",,,Autre,17000,0,Non
PN0100,"Bendex 400mg cp",,,Autre,12000,0,Non
PN0101,"Betalin cp",,,Autre,41000,12000,Non
PN0102,"Bidongyl cp",,,Autre,0,0,Non
PN0103,"Bimalaril plus cp",,,Autre,60000,0,Non
PN0104,"Bimalaril AD cp",,,Autre,39000,0,Non
PN0105,"Biofar Mg + Ca cp/eff",,,Autre,60000,0,Non
PN0106,"Biofar Vit C cp/eff 1000",,,Autre,64000,0,Non
PN0107,"Biofar Fer + Acide Folique cp",,,Autre,0,0,Non
PN0108,"Biofar Multi-Vitamine cp",,,Autre,80000,0,Non
PN0109,"Cac 1000mg cp",,,Autre,33000,0,Non
PN0110,"Biodroxyl 500 mg cp",,,Autre,94000,0,Non
PN0111,"Bibloc 10 mg cp",,,Autre,82000,0,Non
PN0112,"Bibloc 5 mg cp",,,Autre,0,0,Non
PN0113,"Bisoprolol GH 10 mg cp",,,Autre,54000,0,Non
PN0114,"Biprofenid LP cp",,,Autre,0,0,Non
PN0115,"Boncare plus cp",,,Autre,0,0,Non
PN0116,"Brufen cp",,,Autre,45000,0,Non
PN0117,"Boncipro 500 cp",,,Autre,81000,0,Non
PN0118,"Boncipro 750 mg cp",,,Autre,116000,0,Non
PN0119,"Brustan cp",,,Autre,23000,0,Non
PN0120,"Bifosa 35 mg cp",,,Autre,0,0,Non
PN0121,"Bifosa 70 mg cp",,,Autre,0,0,Non
PN0122,"Boostex cp / eff",,,Autre,0,0,Non
PN0123,"Ticosse 200 mg",,,Autre,0,0,Non
PN0124,"Ticosse 400 mg",,,Autre,0,0,Non
PN0125,"Calben 400 MG CP",,,Autre,0,0,Non
PN0126,"Calcibronat cp",,,Autre,0,0,Non
PN0127,"Calci D denk cp",,,Autre,0,0,Non
PN0128,"Calcium active denk cp",,,Autre,0,0,Non
PN0129,"Calsource cp",,,Autre,0,0,Non
PN0130,"Calgin cp",,,Autre,0,0,Non
PN0131,"Captopril 25mg cp B/20",,,Autre,0,0,Non
PN0132,"Carben 500mg cp",,,Autre,0,0,Non
PN0133,"Carben 100mg cp",,,Autre,0,0,Non
PN0134,"Capen cp 25g B/30",,,Autre,0,0,Non
PN0135,"Cardiurine cp",,,Autre,0,0,Non
PN0136,"Cardix 6.25 cp",,,Autre,0,0,Non
PN0137,"Cardiovalam GH cp",,,Autre,0,0,Non
PN0138,"Colosar Denk 100/12.5 cp",,,Autre,0,0,Non
PN0139,"Carvedi Denk 25mg cp",,,Autre,0,0,Non
PN0140,"Carvedi Denk 6.25mg cp",,,Autre,0,0,Non
PN0141,"Cataflam 25mg cp",,,Autre,0,0,Non
PN0142,"Cataflam 50mg cp",,,Autre,0,0,Non
PN0143,"Cefaloral 100mg cp",,,Autre,0,0,Non
PN0144,"Cefaloral 200mg cp",,,Autre,0,0,Non
PN0145,"Cefixidel cp 200g cp",,,Autre,0,0,Non
PN0146,"Cenazol 500mg cp",,,Autre,0,0,Non
PN0147,"Cenazol 250mg cp",,,Autre,0,0,Non
PN0148,"Cetamyl 500mg cp",,,Autre,0,0,Non
PN0149,"Cetamyl 1g cp",,,Autre,0,0,Non
PN0150,"Celestene 2mg cp",,,Autre,0,0,Non
PN0151,"Cefixim 200mg BGR cp",,,Autre,0,0,Non
PN0152,"Ceficap 400mg cp",,,Autre,0,0,Non
PN0153,"Chophytol cp",,,Autre,0,0,Non
PN0154,"Cefim 200mg cp",,,Autre,0,0,Non
PN0155,"Cefim 400 mg cp",,,Autre,0,0,Non
PN0156,"Chondroflex cp",,,Autre,0,0,Non
PN0157,"Chondrosteo cp",,,Autre,0,0,Non
PN0158,"Chondrogen cp",,,Autre,0,0,Non
PN0159,"Cinabac cp",,,Autre,0,0,Non
PN0160,"Ciprolex TZ cp",,,Autre,0,0,Non
PN0161,"Cipotax cp",,,Autre,0,0,Non
PN0162,"Cipro Denk 500mg cp",,,Autre,0,0,Non
PN0163,"Cipro Denk 750mg cp",,,Autre,0,0,Non
