Code,Nom,DCI,Marque,Categorie,Forme,Prix Vente,Prix Achat,Rx,Quantite,Peremption
AUTO-01546,Amep 10g B/20,,,Non classé,Comprime,130000,0,Non,0,
AUTO-02215,Atogrel Plus,,,Non classé,Comprime,126000,0,Non,0,
AUTO-04367,Artiz Forte,,,Non classé,Comprime,40000,0,Non,0,
AUTO-07481,Brain active200 CP,,,Non classé,Comprime,277000,0,Non,0,
AUTO-13534,Biofar Vit C 500,,,Non classé,Comprime,64000,0,Non,0,
AUTO-14057,Andol vit C eff,,,Non classé,Comprime,20000,0,Non,0,
AUTO-17455,Azinex 500,,,Non classé,Comprime,70000,0,Non,0,
AUTO-18470,Acyclovir Denk 200,,,Non classé,Comprime,152000,0,Non,0,
AUTO-25449,Amloclass 5 mg,,,Non classé,Comprime,90000,0,Non,0,
AUTO-30900,Artiz DP,,,Non classé,Comprime,40000,0,Non,0,
AUTO-35861,Atorilator CP,,,Non classé,Comprime,90000,0,Non,0,
AUTO-45577,Allergine cp,,,Non classé,Comprime,78000,0,Non,0,
AUTO-46272,Aprilam,,,Non classé,Comprime,106000,0,Non,0,
AUTO-50156,Creadol plus CP,,,Non classé,Comprime,11000,0,Non,0,
AUTO-53745,Actinal 200 hp,,,Non classé,Comprime,63000,0,Non,0,
AUTO-59109,Azée 500 cp,,,Non classé,Comprime,60000,0,Non,0,
AUTO-59165,Advil Med 400 cp,,,Non classé,Comprime,38000,0,Non,0,
AUTO-63774,Batoxime 200 CP,,,Non classé,Comprime,110000,0,Non,0,
AUTO-70017,Atarax,,,Non classé,Comprime,39000,0,Non,0,
AUTO-72325,Atoflox plus,,,Non classé,Comprime,100000,0,Non,0,
AUTO-73308,Adna Fenu Grec,,,Non classé,Comprime,80000,0,Non,0,
AUTO-74928,Alvityl Tonus,,,Non classé,Comprime,90000,0,Non,0,
AUTO-77809,Biofar 12 Vit 12 Mineraux,,,Non classé,Comprime,80000,0,Non,0,
AUTO-80221,Aziral 500 cp,,,Non classé,Comprime,79000,0,Non,0,
AUTO-85413,Albensen 400 mg cp,,,Non classé,Comprime,10000,0,Non,0,
AUTO-86767,Alzol 400 mg,,,Non classé,Comprime,22000,0,Non,0,
AUTO-91346,Actinac 100 mg,,,Non classé,Comprime,43000,0,Non,0,
PARA0001,Sur-eau,,,Parapharmacie,,10000,0,Non,0,
PARA0013,Pampers Confy bébé 2,,,Parapharmacie,,75000,0,Non,0,
PARA0020,serviette hygienique Perfect Normal,,,Parapharmacie,,10000,0,Non,0,
PARA0021,serviette hygienique Perfect Super,,,Parapharmacie,,10000,0,Non,0,
PARA0022,Serviette hygienique Confy Long,,,Parapharmacie,,15000,0,Non,0,
PARA0026,Biberon only 60ml,,,Parapharmacie,,15000,0,Non,0,
PARA0030,Biberon Minitree 420ml,,,Parapharmacie,,40000,0,Non,0,
PARA0036,Biberon verre Douanière 120ml,,,Parapharmacie,,40000,0,Non,0,
PARA0040,Cerelac riz,,,Parapharmacie,,55000,0,Non,0,
PARA0041,Cerelac blé,,,Parapharmacie,,50000,0,Non,0,
PARA0042,Cerelac 3 fruits,,,Parapharmacie,,55000,0,Non,0,
PARA0048,Bledine blé,,,Parapharmacie,,40000,0,Non,0,
PARA0052,Bledine lactée,,,Parapharmacie,,40000,0,Non,0,
PN0001,Doliprane 1g cp/eff,,,Autre,Comprime,22000,0,Non,0,
PN0002,Doliprane 1g cp/sec,,,Autre,Comprime,18000,0,Non,0,
PN0003,Doliprane 500 mg cp/sec,,,Autre,Comprime,20000,0,Non,0,
PN0004,Doliprane Vitc cp/eff,,,Autre,Comprime,25000,0,Non,0,
PN0005,Aclop cp,,,Autre,Comprime,37000,0,Non,0,
PN0006,Actinac cp+,,,Autre,Comprime,48000,0,Non,0,
PN0007,Acumol cp,,,Autre,Comprime,70000,0,Non,0,
PN0008,Acofan cp,,,Autre,Comprime,0,0,Non,0,
PN0009,Acure cp 20/120,,,Autre,Comprime,24000,0,Non,0,
PN0010,Acure cp 40/240,,,Autre,Comprime,0,0,Non,0,
PN0011,Acure cp 60/360,,,Autre,Comprime,0,0,Non,0,
PN0012,Acure cp 80/480,,,Autre,Comprime,41000,0,Non,0,
PN0013,Aerius cp B/7,,,Autre,Comprime,52000,0,Non,0,
PN0014,Aerius cp B/15,,,Autre,Comprime,104000,0,Non,0,
PN0015,Adione cp B/10,,,Autre,Comprime,44000,0,Non,0,
PN0016,Adione cp B/30,,,Autre,Comprime,102500,0,Non,0,
PN0017,Airtal cp 100 mg,,,Autre,Comprime,0,0,Non,0,
PN0018,Alben cp 400 mg,,,Autre,Comprime,26000,0,Non,0,
PN0019,Alcer cp,,,Autre,Comprime,0,0,Non,0,
PN0020,Aldactone 75 cp,,,Autre,Comprime,0,0,Non,0,
PN0021,Aldomet 500 cp,,,Autre,Comprime,77000,0,Non,0,
PN0022,Alerid cp,,,Autre,Comprime,0,0,Non,0,
PN0023,Alfacure cp 20/120,,,Autre,Comprime,13000,0,Non,0,
PN0024,Alfacure cp 40/240,,,Autre,Comprime,26000,0,Non,0,
PN0025,Alfacure cp 80/480,,,Autre,Comprime,41000,0,Non,0,
PN0026,Allergal cp,,,Autre,Comprime,26000,0,Non,0,
PN0027,Amoxidel cp 500 mg,,,Autre,Comprime,32000,0,Non,0,
PN0028,Alvityl cp,,,Autre,Comprime,0,0,Non,0,
PN0029,Amarel 2 mg cp,,,Autre,Comprime,0,0,Non,0,
PN0030,Amaday 5 mg cp,,,Autre,Comprime,65000,0,Non,0,
PN0031,Amaday 10 mg cp,,,Autre,Comprime,104000,0,Non,0,
PN0032,Amaday PL 5/8 cp,,,Autre,Comprime,156000,0,Non,0,
PN0033,Amaday PL 10/4 cp,,,Autre,Comprime,0,0,Non,0,
PN0034,Amaday PL 10/8 cp,,,Autre,Comprime,168000,0,Non,0,
PN0035,Amep 5 mg cp,,,Autre,Comprime,45000,0,Non,0,
PN0036,Amep 10 mg cp,,,Autre,Comprime,63000,0,Non,0,
PN0037,Amical 10 mg cp,,,Autre,Comprime,0,0,Non,0,
PN0038,Amlodip 10 mg cp,,,Autre,Comprime,57000,0,Non,0,
PN0039,Amlodipine 10 mg BGR cp,,,Autre,Comprime,85000,0,Non,0,
PN0040,Amlodip 5 mg cp,,,Autre,Comprime,44000,0,Non,0,
PN0041,Amlodipine 10 mg GH cp,,,Autre,Comprime,83000,0,Non,0,
PN0042,Amloclass 10 mg cp,,,Autre,Comprime,60000,0,Non,0,
PN0043,Amloperin 5/5 cp,,,Autre,Comprime,0,0,Non,0,
PN0044,Amloperin 10/5 cp,,,Autre,Comprime,208000,0,Non,0,
PN0045,Amloperin 10/10 cp,,,Autre,Comprime,231000,0,Non,0,
PN0046,Amlotensine 10 mg cp,,,Autre,Comprime,0,0,Non,0,
PN0047,Amoxi denk 1g cp,,,Autre,Comprime,47000,0,Non,0,
PN0048,Amoxi denk 500 mg cp,,,Autre,Comprime,43000,0,Non,0,
PN0049,Amoxiclav 500 mg cp Denk,,,Autre,Comprime,81000,0,Non,0,
PN0050,Andol 500 mg cp,,,Autre,Comprime,17000,0,Non,0,
PN0051,Andol 1 g cp,,,Autre,Comprime,18000,0,Non,0,
PN0052,Antadys cp,,,Autre,Comprime,54000,0,Non,0,
PN0053,Antalgex T cp,,,Autre,Comprime,0,0,Non,0,
PN0054,Amtiba cp,,,Autre,Comprime,0,0,Non,0,
PN0055,Apramol 500 mg cp/eff,,,Autre,Comprime,22000,0,Non,0,
PN0056,Apramol 1g cp/eff,,,Autre,Comprime,21000,0,Non,0,
PN0057,Albentel cp 400mg,,,Autre,Comprime,9000,0,Non,0,
PN0058,Arthel plus cp,,,Autre,Comprime,0,0,Non,0,
PN0059,Artefan disp 20/120 cp,,,Autre,Comprime,14000,0,Non,0,
PN0060,Artefan 40/240 DT cp,,,Autre,Comprime,35000,0,Non,0,
PN0061,Artefan 40/240 sec cp,,,Autre,Comprime,0,0,Non,0,
PN0062,Artefan 60/360 cp,,,Autre,Comprime,55000,0,Non,0,
PN0063,Artefan 80/480 cp,,,Autre,Comprime,44000,0,Non,0,
PN0064,Aprilam 10/5 cp,,,Autre,Comprime,105000,0,Non,0,
PN0065,Artilex 40/240 cp,,,Autre,Comprime,35000,0,Non,0,
PN0066,Artilex 60/360 cp,,,Autre,Comprime,69000,0,Non,0,
PN0067,Artilex 80/480 cp,,,Autre,Comprime,44000,0,Non,0,
PN0068,Artrim GH cp 80/480,,,Autre,Comprime,26000,0,Non,0,
PN0069,Artiflex cp,,,Autre,Comprime,95000,0,Non,0,
PN0070,Astyfer cp,,,Autre,Comprime,0,0,Non,0,
PN0071,Aspirin UPSA cp,,,Autre,Comprime,49000,0,Non,0,
PN0072,Astaph 500mg B/12 cp,,,Autre,Comprime,127000,0,Non,0,
PN0073,Astaph 500mg B/24 cp,,,Autre,Comprime,0,0,Non,0,
PN0074,Atedapene cp,,,Autre,Comprime,0,0,Non,0,
PN0075,Atidine cp,,,Autre,Comprime,63000,0,Non,0,
PN0076,Atofan cp,,,Autre,Comprime,53000,0,Non,0,
PN0077,Atorcap 40 B/10 cp,,,Autre,Comprime,0,0,Non,0,
PN0078,Atorcap 40 B/20 cp,,,Autre,Comprime,0,0,Non,0,
PN0079,Atopir cp,,,Autre,Comprime,69000,0,Non,0,
PN0080,Atopar 1g LP cp B/10,,,Autre,Comprime,26000,0,Non,0,
PN0081,Atoflox 500mg cp,,,Autre,Comprime,69000,0,Non,0,
PN0082,Atogrel 75mg cp,,,Autre,Comprime,105000,0,Non,0,
PN0083,Atopril 10mg cp,,,Autre,Comprime,0,0,Non,0,
PN0084,Atorfit 20mg cp,,,Autre,Comprime,141000,0,Non,0,
PN0085,Atorfit 40mg cp,,,Autre,Comprime,160000,0,Non,0,
PN0086,Atostatine 40mg cp,,,Autre,Comprime,68000,0,Non,0,
PN0087,Atozidine 35mg cp,,,Autre,Comprime,74000,0,Non,0,
PN0088,Azicure 500mg cp,,,Autre,Comprime,93000,0,Non,0,
PN0089,Azythro GH 500mg cp,,,Autre,Comprime,90000,0,Non,0,
PN0090,Azit 500mg cp,,,Autre,Comprime,0,0,Non,0,
PN0091,Creazithro 500mg cp,,,Autre,Comprime,35000,0,Non,0,
PN0092,Aziocin 500 mg cp,,,Autre,Comprime,0,0,Non,0,
PN0093,Gripex 500mg cp,,,Autre,Comprime,0,0,Non,0,
PN0094,Bactrim Forte cp,,,Autre,Comprime,0,0,Non,0,
PN0095,Bactrim cp,,,Autre,Comprime,47000,0,Non,0,
PN0096,Beclav 62.5 cp,,,Autre,Comprime,93000,0,Non,0,
PN0097,Beclav Forte cp,,,Autre,Comprime,104000,0,Non,0,
PN0098,Bekracine 200mg cp,,,Autre,Comprime,104000,0,Non,0,
PN0099,Bekrazole 400mg cp,,,Autre,Comprime,17000,0,Non,0,
PN0100,Bendex 400mg cp,,,Autre,Comprime,12000,0,Non,0,
PN0101,Betalin cp,,,Autre,Comprime,41000,12000,Non,0,
PN0102,Bidongyl cp,,,Autre,Comprime,0,0,Non,0,
PN0103,Bimalaril plus cp,,,Autre,Comprime,60000,0,Non,0,
PN0104,Bimalaril AD cp,,,Autre,Comprime,39000,0,Non,0,
PN0105,Biofar Mg + Ca cp/eff,,,Autre,Comprime,60000,0,Non,0,
PN0106,Biofar Vit C cp/eff 1000,,,Autre,Comprime,64000,0,Non,0,
PN0107,Biofar Fer + Acide Folique cp,,,Autre,Comprime,0,0,Non,0,
PN0108,Biofar Multi-Vitamine cp,,,Autre,Comprime,80000,0,Non,0,
PN0109,Cac 1000mg cp,,,Autre,Comprime,33000,0,Non,0,
PN0110,Biodroxyl 500 mg cp,,,Autre,Comprime,94000,0,Non,0,
PN0111,Bibloc 10 mg cp,,,Autre,Comprime,82000,0,Non,0,
PN0112,Bibloc 5 mg cp,,,Autre,Comprime,0,0,Non,0,
PN0113,Bisoprolol GH 10 mg cp,,,Autre,Comprime,54000,0,Non,0,
PN0114,Biprofenid LP cp,,,Autre,Comprime,0,0,Non,0,
PN0115,Boncare plus cp,,,Autre,Comprime,0,0,Non,0,
PN0116,Brufen cp,,,Autre,Comprime,45000,0,Non,0,
PN0117,Boncipro 500 cp,,,Autre,Comprime,81000,0,Non,0,
