Code,Nom,DCI,Marque,Categorie,Rayon,Prix Vente,Prix Achat,Rx,Quantite,Date de preremption
BISC004,BISCUIT AUCHAN MON GOUTER ROND,,BISCUIT AUCHAN MON GOUTER ROND,LAITS ET CEREALES,LAITS ET CEREALES,30000,0,Non,0,46023
BISC001,BISCUIT FRANCE CHOCOLAT,,BISCUIT FRANCE CHOCOLAT,LAITS ET CEREALES,LAITS ET CEREALES,20000,0,Non,0,46023
80202,BLEDIDEJ BISCUIT VANILLE,,BLEDIDEJ BISCUIT VANILLE,LAITS ET CEREALES,LAITS ET CEREALES,70000,35000,Non,40,46266
355,BLEDIDEJ CHOCO BISCUIT 12M+,,BLEDIDEJ CHOCO BISCUIT 12M+,LAITS ET CEREALES,LAITS ET CEREALES,70000,50000,Non,25,46296
80189,BLEDIDEJ CHOCO VANILLE 12M+,,BLEDIDEJ CHOCO VANILLE 12M+,LAITS ET CEREALES,LAITS ET CEREALES,70000,28083,Non,11,46313
7323,BLEDIDEJ CHOCOLAT GOURMAND 12M+,,BLEDIDEJ CHOCOLAT GOURMAND 12M+,LAITS ET CEREALES,LAITS ET CEREALES,70000,50000,Non,13,46296
478,BLEDIDEJ SAVEUR BISCUIT 6M+,,BLEDIDEJ SAVEUR BISCUIT 6M+,LAITS ET CEREALES,LAITS ET CEREALES,70000,50000,Non,1,46266
7484,BLEDIDEJ SAVEUR VANILLE 6M+,,BLEDIDEJ SAVEUR VANILLE 6M+,LAITS ET CEREALES,LAITS ET CEREALES,70000,50000,Non,12,46266
BLED001,BLEDILAIT 900G 2AGE,,BLEDILAIT 900G 2AGE,LAITS ET CEREALES,LAITS ET CEREALES,200000,140000,Non,0,46478
BYPH002,BLEDILAIT N03 900G IMPORTE,,BLEDILAIT N03 900G IMPORTE,LAITS ET CEREALES,LAITS ET CEREALES,180000,120500,Non,12,46631
6222256,BLEDILAIT N04,,BLEDILAIT N04,LAITS ET CEREALES,LAITS ET CEREALES,200000,140000,Non,2,46661
