Code;Nom;DCI;Marque;Categorie;Rayon;Prix Vente;Prix Achat;Rx;Quantite;Date de preremption;Emplacement
BISC004;BISCUIT AUCHAN MON GOUTER ROND;;BISCUIT AUCHAN MON GOUTER ROND;LAITS ET CEREALES;LAITS ET CEREALES;30000;0;Non;0;2026-01-01;rayon
BISC001;BISCUIT FRANCE CHOCOLAT;;BISCUIT FRANCE CHOCOLAT;LAITS ET CEREALES;LAITS ET CEREALES;20000;0;Non;0;2026-01-01;rayon
80202;BLEDIDEJ BISCUIT VANILLE;;BLEDIDEJ BISCUIT VANILLE;LAITS ET CEREALES;LAITS ET CEREALES;70000;35000;Non;40;2026-09-01;rayon
355;BLEDIDEJ CHOCO BISCUIT 12M+;;BLEDIDEJ CHOCO BISCUIT 12M+;LAITS ET CEREALES;LAITS ET CEREALES;70000;50000;Non;25;2026-10-01;rayon
80189;BLEDIDEJ CHOCO VANILLE 12M+;;BLEDIDEJ CHOCO VANILLE 12M+;LAITS ET CEREALES;LAITS ET CEREALES;70000;28083;Non;11;2026-10-18;rayon
7323;BLEDIDEJ CHOCOLAT GOURMAND 12M+;;BLEDIDEJ CHOCOLAT GOURMAND 12M+;LAITS ET CEREALES;LAITS ET CEREALES;70000;50000;Non;13;2026-10-01;rayon
478;BLEDIDEJ SAVEUR BISCUIT 6M+;;BLEDIDEJ SAVEUR BISCUIT 6M+;LAITS ET CEREALES;LAITS ET CEREALES;70000;50000;Non;1;2026-09-01;rayon
7484;BLEDIDEJ SAVEUR VANILLE 6M+;;BLEDIDEJ SAVEUR VANILLE 6M+;LAITS ET CEREALES;LAITS ET CEREALES;70000;50000;Non;12;2026-09-01;rayon
BLED001;BLEDILAIT 900G 2AGE;;BLEDILAIT 900G 2AGE;LAITS ET CEREALES;LAITS ET CEREALES;200000;140000;Non;0;2027-04-01;rayon
BYPH002;BLEDILAIT N03 900G IMPORTE;;BLEDILAIT N03 900G IMPORTE;LAITS ET CEREALES;LAITS ET CEREALES;180000;120500;Non;12;2027-09-01;rayon
6222256;BLEDILAIT N04;;BLEDILAIT N04;LAITS ET CEREALES;LAITS ET CEREALES;200000;140000;Non;2;2027-10-01;rayon
BLED0012;BLEDINA  COMPOTE COKTAIL DE FRUIT;;BLEDINA  COMPOTE COKTAIL DE FRUIT;LAITS ET CEREALES;LAITS ET CEREALES;50000;0;Non;37;2027-04-01;rayon
CHAM002;BLEDINA BANANA ET LAIT;;BLEDINA BANANA ET LAIT;LAITS ET CEREALES;LAITS ET CEREALES;40000;0;Non;11;2027-10-01;rayon
BLED0023;BLEDINA BRASSE NATURE;;BLEDINA BRASSE NATURE;LAITS ET CEREALES;LAITS ET CEREALES;45000;0;Non;2;2026-09-29;rayon
FRAN002;BLEDINA COMPOTE HARMONINE DE FORT;;BLEDINA COMPOTE HARMONINE DE FORT;LAITS ET CEREALES;LAITS ET CEREALES;45000;0;Non;0;2027-01-01;rayon
COLG054;BLEDINA COMPOTE POMME BANANE;;BLEDINA COMPOTE POMME BANANE;LAITS ET CEREALES;LAITS ET CEREALES;50000;35500;Non;0;2027-07-01;rayon
FRAN004;BLEDINA COMPOTE POMME KIWIS;;BLEDINA COMPOTE POMME KIWIS;LAITS ET CEREALES;LAITS ET CEREALES;45000;0;Non;2;2026-12-01;rayon
BROS004;BLEDINA COMPOTE POMME PECHE;;BLEDINA COMPOTE POMME PECHE;LAITS ET CEREALES;LAITS ET CEREALES;50000;5000;Non;7;2027-06-01;rayon
FRAN003;BLEDINA COMPOTE POMME POIRE;;BLEDINA COMPOTE POMME POIRE;LAITS ET CEREALES;LAITS ET CEREALES;50000;35500;Non;19;2027-06-01;rayon
FRAN001;BLEDINA COMPOTE POMME PRUNEAUX;;BLEDINA COMPOTE POMME PRUNEAUX;LAITS ET CEREALES;LAITS ET CEREALES;50000;35500;Non;29;2027-08-01;rayon
379;BLEDINA COMPOTE POMMES CERISES VANILLE;;BLEDINA COMPOTE POMMES CERISES VANILLE;LAITS ET CEREALES;LAITS ET CEREALES;45000;32000;Non;7;2026-11-16;rayon
BLED003;BLEDINA DOUCEURS FRAISE;;BLEDINA DOUCEURS FRAISE;LAITS ET CEREALES;LAITS ET CEREALES;60000;42500;Non;13;2026-10-01;rayon
7309;BLEDINA DOUCEURS FRUITES;;BLEDINA DOUCEURS FRUITES;LAITS ET CEREALES;LAITS ET CEREALES;50000;23430;Non;0;2026-06-01;rayon
